ORDERNUMBER,QUANTITY ORDERED,PRICE EACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10106.00,34.00,90.39,2.00,3073.26,2/17/2003 0:00,Shipped,1.00,2.00,2003.00,Planes,84.00,S18_2581,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA,Rovelli,Giovanni,Medium
10120.00,29.00,71.81,8.00,2082.49,4/29/2003 0:00,Shipped,2.00,4.00,2003.00,Planes,84.00,S18_2581,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small
10133.00,49.00,69.27,3.00,3394.23,6/27/2003 0:00,Shipped,2.00,6.00,2003.00,Planes,84.00,S18_2581,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium
10145.00,30.00,85.32,14.00,2559.60,8/25/2003 0:00,Shipped,3.00,8.00,2003.00,Planes,84.00,S18_2581,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Small
10168.00,21.00,70.96,9.00,1490.16,10/28/2003 0:00,Shipped,4.00,10.00,2003.00,Planes,84.00,S18_2581,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Small
10210.00,50.00,76.88,7.00,3844.00,1/12/2004 0:00,Shipped,1.00,1.00,2004.00,Planes,84.00,S18_2581,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
10223.00,47.00,100.00,9.00,4724.91,2/20/2004 0:00,Shipped,1.00,2.00,2004.00,Planes,84.00,S18_2581,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10235.00,24.00,76.03,3.00,1824.72,4/2/2004 0:00,Shipped,2.00,4.00,2004.00,Planes,84.00,S18_2581,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,,Tsawassen,BC,T2F 8M4,Canada,NA,Lincoln,Elizabeth,Small
10250.00,27.00,98.84,4.00,2668.68,5/11/2004 0:00,Shipped,2.00,5.00,2004.00,Planes,84.00,S18_2581,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,NA,Frick,Sue,Small
10263.00,33.00,86.17,10.00,2843.61,6/28/2004 0:00,Shipped,2.00,6.00,2004.00,Planes,84.00,S18_2581,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Small
10275.00,35.00,90.39,9.00,3163.65,7/23/2004 0:00,Shipped,3.00,7.00,2004.00,Planes,84.00,S18_2581,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
10284.00,31.00,71.81,1.00,2226.11,8/21/2004 0:00,Shipped,3.00,8.00,2004.00,Planes,84.00,S18_2581,"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway,EMEA,Klaeboe,Jan,Small
10297.00,25.00,82.79,4.00,2069.75,9/16/2004 0:00,Shipped,3.00,9.00,2004.00,Planes,84.00,S18_2581,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland,EMEA,Cassidy,Dean,Small
10308.00,27.00,82.79,7.00,2235.33,10/15/2004 0:00,Shipped,4.00,10.00,2004.00,Planes,84.00,S18_2581,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve,Small
10318.00,31.00,100.00,9.00,3116.43,11/2/2004 0:00,Shipped,4.00,11.00,2004.00,Planes,84.00,S18_2581,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium
10327.00,45.00,100.00,8.00,4781.70,11/10/2004 0:00,Resolved,4.00,11.00,2004.00,Planes,84.00,S18_2581,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Medium
10339.00,27.00,100.00,2.00,2810.70,11/23/2004 0:00,Shipped,4.00,11.00,2004.00,Planes,84.00,S18_2581,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small
10353.00,27.00,100.00,1.00,3515.67,12/4/2004 0:00,Shipped,4.00,12.00,2004.00,Planes,84.00,S18_2581,Gift Ideas Corp.,2035554407,2440 Pompton St.,,Glendale,CT,97561,USA,NA,Lewis,Dan,Medium
10374.00,42.00,69.27,2.00,2909.34,2/2/2005 0:00,Shipped,1.00,2.00,2005.00,Planes,84.00,S18_2581,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Small
10386.00,21.00,74.77,18.00,1570.17,3/1/2005 0:00,Resolved,1.00,3.00,2005.00,Planes,84.00,S18_2581,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small
10398.00,34.00,76.88,15.00,2613.92,3/30/2005 0:00,Shipped,1.00,3.00,2005.00,Planes,84.00,S18_2581,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Small
10401.00,42.00,76.03,3.00,3193.26,4/3/2005 0:00,On Hold,2.00,4.00,2005.00,Planes,84.00,S18_2581,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Medium
10416.00,15.00,98.84,4.00,1482.60,5/10/2005 0:00,Shipped,2.00,5.00,2005.00,Planes,84.00,S18_2581,L'ordine Souveniers,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,Small
10107.00,29.00,70.87,6.00,2055.23,2/24/2003 0:00,Shipped,1.00,2.00,2003.00,Motorcycles,60.00,S18_2625,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Small
10120.00,46.00,58.15,4.00,2674.90,4/29/2003 0:00,Shipped,2.00,4.00,2003.00,Motorcycles,60.00,S18_2625,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small
10134.00,30.00,61.78,6.00,1853.40,7/1/2003 0:00,Shipped,3.00,7.00,2003.00,Motorcycles,60.00,S18_2625,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Small
10145.00,30.00,49.67,10.00,1490.10,8/25/2003 0:00,Shipped,3.00,8.00,2003.00,Motorcycles,60.00,S18_2625,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Small
10159.00,42.00,51.48,18.00,2162.16,10/10/2003 0:00,Shipped,4.00,10.00,2003.00,Motorcycles,60.00,S18_2625,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Small
10168.00,46.00,61.18,5.00,2814.28,10/28/2003 0:00,Shipped,4.00,10.00,2003.00,Motorcycles,60.00,S18_2625,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Small
10180.00,25.00,64.20,13.00,1605.00,11/11/2003 0:00,Shipped,4.00,11.00,2003.00,Motorcycles,60.00,S18_2625,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Small
10188.00,32.00,65.42,5.00,2093.44,11/18/2003 0:00,Shipped,4.00,11.00,2003.00,Motorcycles,60.00,S18_2625,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Small
10201.00,30.00,64.81,6.00,1944.30,12/1/2003 0:00,Shipped,4.00,12.00,2003.00,Motorcycles,60.00,S18_2625,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Small
10210.00,40.00,49.67,3.00,1986.80,1/12/2004 0:00,Shipped,1.00,1.00,2004.00,Motorcycles,60.00,S18_2625,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Small
10223.00,28.00,60.57,5.00,1695.96,2/20/2004 0:00,Shipped,1.00,2.00,2004.00,Motorcycles,60.00,S18_2625,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small
10236.00,23.00,55.72,2.00,1281.56,4/3/2004 0:00,Shipped,2.00,4.00,2004.00,Motorcycles,60.00,S18_2625,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,NA,Hernandez,Rosa,Small
10251.00,29.00,61.18,6.00,1774.22,5/18/2004 0:00,Shipped,2.00,5.00,2004.00,Motorcycles,60.00,S18_2625,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Small
10263.00,34.00,58.75,6.00,1997.50,6/28/2004 0:00,Shipped,2.00,6.00,2004.00,Motorcycles,60.00,S18_2625,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Small
10275.00,37.00,63.60,5.00,2353.20,7/23/2004 0:00,Shipped,3.00,7.00,2004.00,Motorcycles,60.00,S18_2625,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small
10285.00,20.00,49.06,10.00,981.20,8/27/2004 0:00,Shipped,3.00,8.00,2004.00,Motorcycles,60.00,S18_2625,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Small
10298.00,32.00,48.46,2.00,1550.72,9/27/2004 0:00,Shipped,3.00,9.00,2004.00,Motorcycles,60.00,S18_2625,Atelier graphique,40.32.2555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine,Small
10308.00,34.00,52.09,3.00,1771.06,10/15/2004 0:00,Shipped,4.00,10.00,2004.00,Motorcycles,60.00,S18_2625,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve,Small
10318.00,42.00,52.70,5.00,2213.40,11/2/2004 0:00,Shipped,4.00,11.00,2004.00,Motorcycles,60.00,S18_2625,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Small
10329.00,38.00,100.00,12.00,5266.04,11/15/2004 0:00,Shipped,4.00,11.00,2004.00,Motorcycles,60.00,S18_2625,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10339.00,30.00,62.16,1.00,1864.80,11/23/2004 0:00,Shipped,4.00,11.00,2004.00,Motorcycles,60.00,S18_2625,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small
10362.00,23.00,49.67,3.00,1142.41,1/5/2005 0:00,Shipped,1.00,1.00,2005.00,Motorcycles,60.00,S18_2625,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Small
10374.00,22.00,53.30,4.00,1172.60,2/2/2005 0:00,Shipped,1.00,2.00,2005.00,Motorcycles,60.00,S18_2625,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Small
10389.00,39.00,100.00,5.00,6981.00,3/3/2005 0:00,Shipped,1.00,3.00,2005.00,Motorcycles,60.00,S18_2625,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium
10402.00,55.00,55.72,2.00,3064.60,4/7/2005 0:00,Shipped,2.00,4.00,2005.00,Motorcycles,60.00,S18_2625,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium
10417.00,36.00,61.18,6.00,2202.48,5/13/2005 0:00,Disputed,2.00,5.00,2005.00,Motorcycles,60.00,S18_2625,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small
10101.00,26.00,100.00,1.00,3773.38,1/9/2003 0:00,Shipped,1.00,1.00,2003.00,Vintage Cars,168.00,S18_2795,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,Keitel,Roland,Medium
10110.00,31.00,100.00,1.00,5074.39,3/18/2003 0:00,Shipped,1.00,3.00,2003.00,Vintage Cars,168.00,S18_2795,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,Medium
10125.00,34.00,100.00,2.00,6483.46,5/21/2003 0:00,Shipped,2.00,5.00,2003.00,Vintage Cars,168.00,S18_2795,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10139.00,41.00,100.00,8.00,7956.46,7/16/2003 0:00,Shipped,3.00,7.00,2003.00,Vintage Cars,168.00,S18_2795,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Large
10149.00,23.00,100.00,5.00,4230.62,9/12/2003 0:00,Shipped,3.00,9.00,2003.00,Vintage Cars,168.00,S18_2795,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,,Brisbane,CA,94217,USA,NA,Taylor,Sue,Medium
10162.00,48.00,100.00,3.00,7209.12,10/18/2003 0:00,Shipped,4.00,10.00,2003.00,Vintage Cars,168.00,S18_2795,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Large
10173.00,22.00,100.00,7.00,3452.68,11/5/2003 0:00,Shipped,4.00,11.00,2003.00,Vintage Cars,168.00,S18_2795,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA,Rovelli,Giovanni,Medium
10182.00,21.00,100.00,4.00,3047.73,11/12/2003 0:00,Shipped,4.00,11.00,2003.00,Vintage Cars,168.00,S18_2795,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10193.00,22.00,100.00,8.00,3675.32,11/21/2003 0:00,Shipped,4.00,11.00,2003.00,Vintage Cars,168.00,S18_2795,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,,Glen Waverly,Victoria,3150,Australia,APAC,Connery,Sean,Medium
10205.00,40.00,100.00,3.00,7492.40,12/3/2003 0:00,Shipped,4.00,12.00,2003.00,Vintage Cars,168.00,S18_2795,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
10214.00,50.00,100.00,1.00,9534.50,1/26/2004 0:00,Shipped,1.00,1.00,2004.00,Vintage Cars,168.00,S18_2795,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Large
10227.00,29.00,100.00,4.00,5579.02,3/2/2004 0:00,Shipped,1.00,3.00,2004.00,Vintage Cars,168.00,S18_2795,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Medium
10244.00,43.00,100.00,8.00,5950.34,4/29/2004 0:00,Shipped,2.00,4.00,2004.00,Vintage Cars,168.00,S18_2795,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium
10255.00,24.00,100.00,1.00,3726.00,6/4/2004 0:00,Shipped,2.00,6.00,2004.00,Vintage Cars,168.00,S18_2795,Mini Caravy,88.60.1555,"24, place Kluber",,Strasbourg,,67000,France,EMEA,Citeaux,Frederique,Medium
10280.00,22.00,100.00,10.00,4455.00,8/17/2004 0:00,Shipped,3.00,8.00,2004.00,Vintage Cars,168.00,S18_2795,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Medium
10289.00,43.00,100.00,3.00,8272.34,9/3/2004 0:00,Shipped,3.00,9.00,2004.00,Vintage Cars,168.00,S18_2795,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Large
10304.00,20.00,100.00,14.00,3577.60,10/11/2004 0:00,Shipped,4.00,10.00,2004.00,Vintage Cars,168.00,S18_2795,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,Medium
10312.00,25.00,100.00,11.00,3881.25,10/21/2004 0:00,Shipped,4.00,10.00,2004.00,Vintage Cars,168.00,S18_2795,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10322.00,36.00,100.00,2.00,5797.44,11/4/2004 0:00,Shipped,4.00,11.00,2004.00,Vintage Cars,168.00,S18_2795,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA,Young,Valarie,Medium
10332.00,24.00,52.67,1.00,1264.08,11/17/2004 0:00,Shipped,4.00,11.00,2004.00,Vintage Cars,168.00,S18_2795,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,Small
10347.00,21.00,100.00,6.00,4815.30,11/29/2004 0:00,Shipped,4.00,11.00,2004.00,Vintage Cars,168.00,S18_2795,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10356.00,30.00,100.00,1.00,4462.20,12/9/2004 0:00,Shipped,4.00,12.00,2004.00,Vintage Cars,168.00,S18_2795,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
10367.00,32.00,94.79,7.00,3033.28,1/12/2005 0:00,Resolved,1.00,1.00,2005.00,Vintage Cars,168.00,S18_2795,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium
10380.00,21.00,47.18,8.00,990.78,2/16/2005 0:00,Shipped,1.00,2.00,2005.00,Vintage Cars,168.00,S18_2795,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small
10390.00,26.00,78.11,7.00,2030.86,3/4/2005 0:00,Shipped,1.00,3.00,2005.00,Vintage Cars,168.00,S18_2795,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Small
10421.00,35.00,100.00,1.00,5433.75,5/29/2005 0:00,In Process,2.00,5.00,2005.00,Vintage Cars,168.00,S18_2795,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10109.00,26.00,100.00,1.00,3157.44,3/10/2003 0:00,Shipped,1.00,3.00,2003.00,Classic Cars,132.00,S18_2870,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,NA,Hernandez,Rosa,Medium
10123.00,46.00,100.00,3.00,5161.20,5/20/2003 0:00,Shipped,2.00,5.00,2003.00,Classic Cars,132.00,S18_2870,Atelier graphique,40.32.2555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine,Medium
10137.00,37.00,100.00,3.00,4346.76,7/10/2003 0:00,Shipped,3.00,7.00,2003.00,Classic Cars,132.00,S18_2870,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Medium
10148.00,27.00,100.00,10.00,3528.36,9/11/2003 0:00,Shipped,3.00,9.00,2003.00,Classic Cars,132.00,S18_2870,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Medium
10161.00,23.00,100.00,9.00,3187.80,10/17/2003 0:00,Shipped,4.00,10.00,2003.00,Classic Cars,132.00,S18_2870,Heintze Collectables,86 21 3555,Smagsloget 45,,Aaarhus,,8200,Denmark,EMEA,Ibsen,Palle,Medium
10172.00,39.00,100.00,7.00,6023.16,11/5/2003 0:00,Shipped,4.00,11.00,2003.00,Classic Cars,132.00,S18_2870,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Medium
10181.00,27.00,100.00,3.00,3884.76,11/12/2003 0:00,Shipped,4.00,11.00,2003.00,Classic Cars,132.00,S18_2870,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10192.00,38.00,100.00,8.00,4965.84,11/20/2003 0:00,Shipped,4.00,11.00,2003.00,Classic Cars,132.00,S18_2870,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA,Young,Valarie,Medium
10204.00,27.00,100.00,14.00,4169.88,12/2/2003 0:00,Shipped,4.00,12.00,2003.00,Classic Cars,132.00,S18_2870,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Medium
10212.00,40.00,100.00,7.00,4910.40,1/16/2004 0:00,Shipped,1.00,1.00,2004.00,Classic Cars,132.00,S18_2870,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium
10226.00,24.00,100.00,5.00,3231.36,2/26/2004 0:00,Shipped,1.00,2.00,2004.00,Classic Cars,132.00,S18_2870,Collectable Mini Designs Co.,7605558146,361 Furth Circle,,San Diego,CA,91217,USA,NA,Thompson,Valarie,Medium
10241.00,44.00,100.00,12.00,6853.44,4/13/2004 0:00,Shipped,2.00,4.00,2004.00,Classic Cars,132.00,S18_2870,Mini Caravy,88.60.1555,"24, place Kluber",,Strasbourg,,67000,France,EMEA,Citeaux,Frederique,Medium
10253.00,37.00,100.00,2.00,5177.04,6/1/2004 0:00,Cancelled,2.00,6.00,2004.00,Classic Cars,132.00,S18_2870,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Medium
10266.00,20.00,100.00,3.00,2824.80,7/6/2004 0:00,Shipped,3.00,7.00,2004.00,Classic Cars,132.00,S18_2870,L'ordine Souveniers,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,Small
10278.00,39.00,100.00,3.00,4324.32,8/6/2004 0:00,Shipped,3.00,8.00,2004.00,Classic Cars,132.00,S18_2870,Signal Gift Stores,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA,NA,King,Sue,Medium
10287.00,44.00,100.00,1.00,5052.96,8/30/2004 0:00,Shipped,3.00,8.00,2004.00,Classic Cars,132.00,S18_2870,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA,Holz,Michael,Medium
10301.00,22.00,100.00,5.00,3223.44,10/5/2003 0:00,Shipped,4.00,10.00,2003.00,Classic Cars,132.00,S18_2870,"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway,EMEA,Klaeboe,Jan,Medium
10311.00,43.00,100.00,10.00,5278.68,10/16/2004 0:00,Shipped,4.00,10.00,2004.00,Classic Cars,132.00,S18_2870,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium
10321.00,27.00,100.00,7.00,2851.20,11/4/2004 0:00,Shipped,4.00,11.00,2004.00,Classic Cars,132.00,S18_2870,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Small
10331.00,26.00,64.90,10.00,1687.40,11/17/2004 0:00,Shipped,4.00,11.00,2004.00,Classic Cars,132.00,S18_2870,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,NA,Hernandez,Rosa,Small
10343.00,25.00,52.32,3.00,1308.00,11/24/2004 0:00,Shipped,4.00,11.00,2004.00,Classic Cars,132.00,S18_2870,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Small
10366.00,49.00,100.00,2.00,6144.60,1/10/2005 0:00,Shipped,1.00,1.00,2005.00,Classic Cars,132.00,S18_2870,Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255",,Charleroi,,B-6000,Belgium,EMEA,Cartrain,Pascale,Medium
10379.00,29.00,100.00,5.00,5127.20,2/10/2005 0:00,Shipped,1.00,2.00,2005.00,Classic Cars,132.00,S18_2870,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium
10407.00,41.00,100.00,12.00,6386.16,4/22/2005 0:00,On Hold,2.00,4.00,2005.00,Classic Cars,132.00,S18_2870,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,NA,Frick,Sue,Medium
10419.00,55.00,100.00,2.00,7695.60,5/17/2005 0:00,Shipped,2.00,5.00,2005.00,Classic Cars,132.00,S18_2870,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Large
10103.00,27.00,83.07,12.00,2242.89,1/29/2003 0:00,Shipped,1.00,1.00,2003.00,Vintage Cars,101.00,S18_2949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Small
10112.00,23.00,100.00,2.00,2539.89,3/24/2003 0:00,Shipped,1.00,3.00,2003.00,Vintage Cars,101.00,S18_2949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Small
10126.00,31.00,90.17,12.00,2795.27,5/28/2003 0:00,Shipped,2.00,5.00,2003.00,Vintage Cars,101.00,S18_2949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Small
